row_id,order_id,order_date,ship_date,ship_mode,customer_id,customer_name,segment,country,city,state,postal_code,region,product_id,category,sub-category,product_name,sales
1,ca-2017-152156,2017-11-08,2017-11-11,second class,cg-12520,claire gute,consumer,united states,henderson,kentucky,42420,south,fur-bo-10001798,furniture,bookcases,bush somerset collection bookcase,261.96
2,ca-2017-152156,2017-11-08,2017-11-11,second class,cg-12520,claire gute,consumer,united states,henderson,kentucky,42420,south,fur-ch-10000454,furniture,chairs,"hon deluxe fabric upholstered stacking chairs, rounded back",731.94
3,ca-2017-138688,2017-06-12,2017-06-16,second class,dv-13045,darrin van huff,corporate,united states,los angeles,california,90036,west,off-la-10000240,office supplies,labels,self-adhesive address labels for typewriters by universal,14.62
4,us-2016-108966,2016-10-11,2016-10-18,standard class,so-20335,sean o'donnell,consumer,united states,fort lauderdale,florida,33311,south,fur-ta-10000577,furniture,tables,bretford cr4500 series slim rectangular table,957.5775
5,us-2016-108966,2016-10-11,2016-10-18,standard class,so-20335,sean o'donnell,consumer,united states,fort lauderdale,florida,33311,south,off-st-10000760,office supplies,storage,eldon fold 'n roll cart system,22.368
6,ca-2015-115812,2015-06-09,2015-06-14,standard class,bh-11710,brosina hoffman,consumer,united states,los angeles,california,90032,west,fur-fu-10001487,furniture,furnishings,"eldon expressions wood and plastic desk accessories, cherry wood",48.86
7,ca-2015-115812,2015-06-09,2015-06-14,standard class,bh-11710,brosina hoffman,consumer,united states,los angeles,california,90032,west,off-ar-10002833,office supplies,art,newell 322,7.28
8,ca-2015-115812,2015-06-09,2015-06-14,standard class,bh-11710,brosina hoffman,consumer,united states,los angeles,california,90032,west,tec-ph-10002275,technology,phones,mitel 5320 ip phone voip phone,907.152
9,ca-2015-115812,2015-06-09,2015-06-14,standard class,bh-11710,brosina hoffman,consumer,united states,los angeles,california,90032,west,off-bi-10003910,office supplies,binders,dxl angle-view binders with locking rings by samsill,18.504
10,ca-2015-115812,2015-06-09,2015-06-14,standard class,bh-11710,brosina hoffman,consumer,united states,los angeles,california,90032,west,off-ap-10002892,office supplies,appliances,belkin f5c206vtel 6 outlet surge,114.9
11,ca-2015-115812,2015-06-09,2015-06-14,standard class,bh-11710,brosina hoffman,consumer,united states,los angeles,california,90032,west,fur-ta-10001539,furniture,tables,chromcraft rectangular conference tables,1706.184
12,ca-2015-115812,2015-06-09,2015-06-14,standard class,bh-11710,brosina hoffman,consumer,united states,los angeles,california,90032,west,tec-ph-10002033,technology,phones,konftel 250 conference phone - charcoal black,911.424
13,ca-2018-114412,2018-04-15,2018-04-20,standard class,aa-10480,andrew allen,consumer,united states,concord,north carolina,28027,south,off-pa-10002365,office supplies,paper,xerox 1967,15.552
14,ca-2017-161389,2017-12-05,2017-12-10,standard class,im-15070,irene maddox,consumer,united states,seattle,washington,98103,west,off-bi-10003656,office supplies,binders,fellowes pb200 plastic comb binding machine,407.976
15,us-2016-118983,2016-11-22,2016-11-26,standard class,hp-14815,harold pawlan,home office,united states,fort worth,texas,76106,central,off-ap-10002311,office supplies,appliances,"holmes replacement filter for hepa air cleaner, very large room, hepa filter",68.81
16,us-2016-118983,2016-11-22,2016-11-26,standard class,hp-14815,harold pawlan,home office,united states,fort worth,texas,76106,central,off-bi-10000756,office supplies,binders,storex duratech recycled plastic frosted binders,2.544
17,ca-2015-105893,2015-11-11,2015-11-18,standard class,pk-19075,pete kriz,consumer,united states,madison,wisconsin,53711,central,off-st-10004186,office supplies,storage,"stur-d-stor shelving, vertical 5-shelf: 72""h x 36""w x 18 1/2""d",665.88
18,ca-2015-167164,2015-05-13,2015-05-15,second class,ag-10270,alejandro grove,consumer,united states,west jordan,utah,84084,west,off-st-10000107,office supplies,storage,fellowes super stor/drawer,55.5
19,ca-2015-143336,2015-08-27,2015-09-01,second class,zd-21925,zuschuss donatelli,consumer,united states,san francisco,california,94109,west,off-ar-10003056,office supplies,art,newell 341,8.56
20,ca-2015-143336,2015-08-27,2015-09-01,second class,zd-21925,zuschuss donatelli,consumer,united states,san francisco,california,94109,west,tec-ph-10001949,technology,phones,cisco spa 501g ip phone,213.48
21,ca-2015-143336,2015-08-27,2015-09-01,second class,zd-21925,zuschuss donatelli,consumer,united states,san francisco,california,94109,west,off-bi-10002215,office supplies,binders,"wilson jones hanging view binder, white, 1""",22.72
22,ca-2017-137330,2017-12-09,2017-12-13,standard class,kb-16585,ken black,corporate,united states,fremont,nebraska,68025,central,off-ar-10000246,office supplies,art,newell 318,19.46
23,ca-2017-137330,2017-12-09,2017-12-13,standard class,kb-16585,ken black,corporate,united states,fremont,nebraska,68025,central,off-ap-10001492,office supplies,appliances,"acco six-outlet power strip, 4' cord length",60.34
24,us-2018-156909,2018-07-16,2018-07-18,second class,sf-20065,sandra flanagan,consumer,united states,philadelphia,pennsylvania,19140,east,fur-ch-10002774,furniture,chairs,"global deluxe stacking chair, gray",71.372
25,ca-2016-106320,2016-09-25,2016-09-30,standard class,eb-13870,emily burns,consumer,united states,orem,utah,84057,west,fur-ta-10000577,furniture,tables,bretford cr4500 series slim rectangular table,1044.63
26,ca-2017-121755,2017-01-16,2017-01-20,second class,eh-13945,eric hoffmann,consumer,united states,los angeles,california,90049,west,off-bi-10001634,office supplies,binders,wilson jones active use binders,11.648
27,ca-2017-121755,2017-01-16,2017-01-20,second class,eh-13945,eric hoffmann,consumer,united states,los angeles,california,90049,west,tec-ac-10003027,technology,accessories,imation 8gb mini traveldrive usb 2.0 flash drive,90.57
28,us-2016-150630,2016-09-17,2016-09-21,standard class,tb-21520,tracy blumstein,consumer,united states,philadelphia,pennsylvania,19140,east,fur-bo-10004834,furniture,bookcases,"riverside palais royal lawyers bookcase, royale cherry finish",3083.43
29,us-2016-150630,2016-09-17,2016-09-21,standard class,tb-21520,tracy blumstein,consumer,united states,philadelphia,pennsylvania,19140,east,off-bi-10000474,office supplies,binders,avery recycled flexi-view covers for binding systems,9.618
30,us-2016-150630,2016-09-17,2016-09-21,standard class,tb-21520,tracy blumstein,consumer,united states,philadelphia,pennsylvania,19140,east,fur-fu-10004848,furniture,furnishings,"howard miller 13-3/4"" diameter brushed chrome round wall clock",124.2
31,us-2016-150630,2016-09-17,2016-09-21,standard class,tb-21520,tracy blumstein,consumer,united states,philadelphia,pennsylvania,19140,east,off-en-10001509,office supplies,envelopes,poly string tie envelopes,3.264
32,us-2016-150630,2016-09-17,2016-09-21,standard class,tb-21520,tracy blumstein,consumer,united states,philadelphia,pennsylvania,19140,east,off-ar-10004042,office supplies,art,"boston model 1800 electric pencil sharpeners, putty/woodgrain",86.304
33,us-2016-150630,2016-09-17,2016-09-21,standard class,tb-21520,tracy blumstein,consumer,united states,philadelphia,pennsylvania,19140,east,off-bi-10001525,office supplies,binders,"acco pressboard covers with storage hooks, 14 7/8"" x 11"", executive red",6.858
34,us-2016-150630,2016-09-17,2016-09-21,standard class,tb-21520,tracy blumstein,consumer,united states,philadelphia,pennsylvania,19140,east,off-ar-10001683,office supplies,art,lumber crayons,15.76
35,ca-2018-107727,2018-10-19,2018-10-23,second class,ma-17560,matt abelman,home office,united states,houston,texas,77095,central,off-pa-10000249,office supplies,paper,easy-staple paper,29.472
36,ca-2017-117590,2017-12-08,2017-12-10,first class,gh-14485,gene hale,corporate,united states,richardson,texas,75080,central,tec-ph-10004977,technology,phones,ge 30524ee4,1097.544
37,ca-2017-117590,2017-12-08,2017-12-10,first class,gh-14485,gene hale,corporate,united states,richardson,texas,75080,central,fur-fu-10003664,furniture,furnishings,"electrix architect's clamp-on swing arm lamp, black",190.92
38,ca-2016-117415,2016-12-27,2016-12-31,standard class,sn-20710,steve nguyen,home office,united states,houston,texas,77041,central,off-en-10002986,office supplies,envelopes,"#10-4 1/8"" x 9 1/2"" premium diagonal seam envelopes",113.328
39,ca-2016-117415,2016-12-27,2016-12-31,standard class,sn-20710,steve nguyen,home office,united states,houston,texas,77041,central,fur-bo-10002545,furniture,bookcases,"atlantic metals mobile 3-shelf bookcases, custom colors",532.3992
40,ca-2016-117415,2016-12-27,2016-12-31,standard class,sn-20710,steve nguyen,home office,united states,houston,texas,77041,central,fur-ch-10004218,furniture,chairs,"global fabric manager's chair, dark gray",212.058
41,ca-2016-117415,2016-12-27,2016-12-31,standard class,sn-20710,steve nguyen,home office,united states,houston,texas,77041,central,tec-ph-10000486,technology,phones,plantronics hl10 handset lifter,371.168
42,ca-2018-120999,2018-09-10,2018-09-15,standard class,lc-16930,linda cazamias,corporate,united states,naperville,illinois,60540,central,tec-ph-10004093,technology,phones,panasonic kx-ts550,147.168
43,ca-2017-101343,2017-07-17,2017-07-22,standard class,ra-19885,ruben ausman,corporate,united states,los angeles,california,90049,west,off-st-10003479,office supplies,storage,"eldon base for stackable storage shelf, platinum",77.88
